Month,Cable modem,Optical fiber
2014-01,6,15
2014-02,6,20
2014-03,7,18
2014-04,6,19
2014-05,6,24
2014-06,7,22
2014-07,5,19
2014-08,6,19
2014-09,6,20
2014-10,5,26
2014-11,4,24
2014-12,5,19
2015-01,6,17
2015-02,7,20
2015-03,7,23
2015-04,7,21
2015-05,6,22
2015-06,6,26
2015-07,6,21
2015-08,6,22
2015-09,4,27
2015-10,5,21
2015-11,4,25
2015-12,4,19
2016-01,4,17
2016-02,4,20
2016-03,5,19
2016-04,4,20
2016-05,5,23
2016-06,4,23
2016-07,4,19
2016-08,4,23
2016-09,3,24
2016-10,5,25
2016-11,4,26
2016-12,4,20
2017-01,4,23
2017-02,4,21
2017-03,5,25
2017-04,4,26
2017-05,4,26
2017-06,5,29
2017-07,7,28
2017-08,8,35
2017-09,6,32
2017-10,5,31
2017-11,4,30
2017-12,6,26
2018-01,6,24
2018-02,5,33
2018-03,5,37
2018-04,3,42
2018-05,4,45
2018-06,4,41
2018-07,3,52
2018-08,3,78
2018-09,3,62
2018-10,3,51
2018-11,5,45
2018-12,5,37
2019-01,3,40
2019-02,3,40
2019-03,3,78
2019-04,4,50
2019-05,2,50
2019-06,3,51
2019-07,2,49
2019-08,3,49
2019-09,2,44
2019-10,3,50
2019-11,2,46
2019-12,3,40
2020-01,2,47
2020-02,3,48
2020-03,3,42
2020-04,4,43
2020-05,5,59
2020-06,5,57
2020-07,4,55
2020-08,3,58
2020-09,5,64
2020-10,4,54
2020-11,3,49
2020-12,3,42
2021-01,4,51
2021-02,5,52
2021-03,4,52
2021-04,4,52
2021-05,4,55
2021-06,3,60
2021-07,3,57
2021-08,3,64
2021-09,3,57
2021-10,3,51
2021-11,3,57
2021-12,2,53
2022-01,4,73
2022-02,3,76
2022-03,3,83
2022-04,3,79
2022-05,2,76
2022-06,2,78
2022-07,2,100
2022-08,3,97
2022-09,1,87
2022-10,1,88
2022-11,1,95
2022-12,0,81
